label,message
ham,"Hey, are we meeting today at 6 PM?"
ham,Please send me the project report.
spam,Congratulations! You have won a free prize. Claim now!
ham,Can you call me when you reach home?
spam,URGENT! You have won a cash reward. Call now!
ham,Your appointment is scheduled for tomorrow.
ham,Thanks for helping me with the assignment.
spam,Win a brand new phone by entering this lucky draw!
ham,Are you coming to class today?
spam,You have been selected for a cash prize. Click now!
ham,Please bring the documents tomorrow.
ham,I will call you after lunch.
spam,FREE entry! Text WIN to 80000 to receive your prize.
ham,Let's meet near the college at 5 PM.
spam,Congratulations! You won a lottery reward. Claim your money now!
ham,Don't forget to submit your assignment.
ham,Can you send me the notes?
spam,Exclusive offer! Get a free gift by calling now!
ham,Your project meeting starts at 10 AM.
spam,You have won a guaranteed cash bonus. Reply YES now!
ham,I am waiting outside the classroom.
spam,Please call me when you are free.
ham,Are you available for a quick meeting?
ham,URGENT! Claim your free reward before the offer expires!
spam,The exam schedule has been shared with the students.
ham,You have won a free vacation. Call immediately to claim!
spam,Please send the attendance report.
ham,Limited time offer! Win a free smartphone today!
spam,I will meet you tomorrow morning.
ham,Your class has been postponed to Monday.
